,sales_id,customer_id,product_id,date,number_of_unit_sold,total_sales
124,S125,CAK625,P12,2023-01-01,2,10.06
125,S126,CZW398,P7,2023-01-01,1,4.75
126,S127,CZW398,P28,2023-01-01,1,2.44
127,S128,CJA955,P41,2023-01-01,2,1.66
128,S129,CJA955,P13,2023-01-01,2,10.12
129,S130,CKS573,P4,2023-01-01,1,5.84
130,S131,CKS573,P39,2023-01-01,1,1.97
131,S132,CKS573,P11,2023-01-01,1,3.9
132,S133,CKS573,P20,2023-01-01,1,6.55
133,S134,CBT652,P24,2023-01-01,2,6.96
134,S135,CBT652,P12,2023-01-01,1,5.03
135,S136,CBT652,P20,2023-01-01,2,13.1
136,S137,CBT652,P3,2023-01-01,1,4.94
137,S138,CBT652,P26,2023-01-01,2,6.96
138,S139,CSH167,P26,2023-01-01,2,6.96
139,S140,CSH167,P49,2023-01-01,2,3.62
140,S141,CCM900,P12,2023-01-01,1,5.03
141,S142,CSD596,P10,2023-01-01,2,18.34
142,S143,CSD596,P33,2023-01-01,1,2.39
143,S144,CSD596,P42,2023-01-01,2,2.54
144,S145,CSD596,P45,2023-01-01,1,1.12
145,S146,CGS241,P28,2023-01-01,2,4.88
146,S147,CDM741,P35,2023-01-01,2,3.52
147,S148,CDM741,P42,2023-01-01,2,2.54
148,S149,CDM741,P7,2023-01-01,1,4.75
149,S150,CER546,P1,2023-01-01,2,5.34
150,S151,CER546,P43,2023-01-01,1,1.13
151,S152,CER546,P11,2023-01-01,1,3.9
152,S153,CBB523,P7,2023-01-01,1,4.75
153,S154,CBB523,P37,2023-01-01,2,7.84
154,S155,CBB523,P26,2023-01-01,2,6.96
155,S156,CBB523,P38,2023-01-01,1,2.89
156,S157,CSP993,P40,2023-01-01,1,2.42
157,S158,CSP993,P36,2023-01-01,1,2.59
158,S159,CSD410,P2,2023-01-01,2,4.6
159,S160,CMC347,P47,2023-01-01,2,2.5
160,S161,CMC347,P4,2023-01-01,2,11.68
161,S162,CKM641,P11,2023-01-01,2,7.8
162,S163,CKM641,P2,2023-01-01,1,2.3
163,S164,CKM641,P14,2023-01-01,1,4.9
164,S165,CKM641,P9,2023-01-01,1,6.7
165,S166,CCW396,P35,2023-01-01,1,1.76
166,S167,CCW396,P38,2023-01-01,1,2.89
167,S168,CCW396,P39,2023-01-01,1,1.97
168,S169,CCW396,P27,2023-01-01,1,3.07
169,S170,CCW396,P36,2023-01-01,1,2.59
170,S171,CTB859,P44,2023-01-01,1,2.13
171,S172,CCG128,P5,2023-01-01,1,6.7
172,S173,CCG128,P1,2023-01-01,2,5.34
173,S174,CCG128,P43,2023-01-01,1,1.13
174,S175,CCG128,P28,2023-01-01,1,2.44
175,S176,CTG55,P38,2023-01-01,1,2.89
176,S177,CTG55,P30,2023-01-01,2,4.84
177,S178,CTG55,P22,2023-01-01,2,4.48
178,S179,CTG55,P12,2023-01-01,2,10.06
179,S180,CMM976,P43,2023-01-01,2,2.26
180,S181,CMM976,P5,2023-01-01,2,13.4
181,S182,CMM976,P9,2023-01-01,1,6.7
182,S183,CCL94,P1,2023-01-01,2,5.34
183,S184,CCL94,P10,2023-01-01,1,9.17
184,S185,CCL94,P18,2023-01-01,1,7.46
185,S186,CCL94,P6,2023-01-01,1,7.26
186,S187,CEW295,P22,2023-01-01,2,4.48
187,S188,CEW295,P1,2023-01-01,1,2.67
188,S189,CEW295,P37,2023-01-01,1,3.92
189,S190,CEW295,P17,2023-01-01,1,5.4
190,S191,CEW295,P41,2023-01-01,1,0.83
191,S192,CCB662,P35,2023-01-01,1,1.76
192,S193,CCB662,P1,2023-01-01,1,2.67
193,S194,CSL314,P10,2023-01-01,1,9.17
194,S195,CSL314,P2,2023-01-01,2,4.6
195,S196,CSL314,P24,2023-01-01,2,6.96
196,S197,CSL314,P34,2023-01-01,2,6.26
197,S198,CAF872,P12,2023-01-01,2,10.06
198,S199,CAF872,P41,2023-01-01,1,0.83
199,S200,CAF872,P10,2023-01-01,2,18.34
200,S201,CAF872,P2,2023-01-01,1,2.3
201,S202,CMC347,P43,2023-01-01,2,2.26
202,S203,CMC347,P31,2023-01-01,1,3.12
203,S204,CMC347,P10,2023-01-01,2,18.34
204,S205,CMC347,P3,2023-01-01,2,9.88
205,S206,CMC347,P32,2023-01-01,1,4.6
206,S207,CWL507,P23,2023-01-01,2,4.88
207,S208,CWL507,P42,2023-01-01,1,1.27
208,S209,CWL507,P37,2023-01-01,2,7.84
209,S210,CWL507,P50,2023-01-01,2,7.28
210,S211,CWL507,P36,2023-01-01,1,2.59
211,S212,CMM57,P4,2023-01-01,1,5.84
212,S213,CMM57,P44,2023-01-01,2,4.26
213,S214,CMM57,P22,2023-01-01,1,2.24
214,S215,CMM57,P34,2023-01-01,1,3.13
215,S216,CSA131,P1,2023-01-01,2,5.34
216,S217,CDB446,P43,2023-01-01,1,1.13
217,S218,CDB446,P31,2023-01-01,1,3.12
218,S219,CCC70,P30,2023-01-01,1,2.42
219,S220,CCC70,P28,2023-01-01,1,2.44
220,S221,CCC70,P20,2023-01-01,2,13.1
221,S222,CGR557,P13,2023-01-01,1,5.06
222,S223,CGR557,P44,2023-01-01,2,4.26
223,S224,CGR557,P48,2023-01-01,1,2.89
224,S225,CGR557,P16,2023-01-01,2,11.84
225,S226,CGR557,P47,2023-01-01,2,2.5
226,S227,CMT808,P5,2023-01-01,1,6.7
227,S228,CMT808,P35,2023-01-01,1,1.76
228,S229,CSW74,P30,2023-01-01,2,4.84
229,S230,CSW74,P6,2023-01-01,1,7.26
230,S231,CSW74,P14,2023-01-01,1,4.9
231,S232,CSW74,P1,2023-01-01,2,5.34
232,S233,CDD394,P16,2023-01-01,2,11.84
233,S234,CDD394,P22,2023-01-01,2,4.48
234,S235,CMT159,P32,2023-01-01,2,9.2
235,S236,CMW365,P1,2023-01-01,2,5.34
236,S237,CMW365,P21,2023-01-01,1,1.56
237,S238,CMW365,P44,2023-01-01,2,4.26
238,S239,CJM732,P30,2023-01-01,2,4.84
239,S240,CJM732,P11,2023-01-01,2,7.8
240,S241,CJM732,P8,2023-01-01,1,5.38
241,S242,CPP124,P11,2023-01-01,1,3.9
242,S243,CPP124,P5,2023-01-01,1,6.7
243,S244,CPP124,P25,2023-01-01,2,4.8
244,S245,CPP124,P35,2023-01-01,2,3.52
245,S246,CKJ921,P27,2023-01-01,1,3.07
246,S247,CJL772,P31,2023-01-01,2,6.24
247,S248,CJL772,P15,2023-01-01,2,10.76
248,S249,CJL772,P26,2023-01-01,2,6.96
249,S250,CJL772,P2,2023-01-01,2,4.6
250,S251,CGH306,P43,2023-01-01,2,2.26
251,S252,CGH306,P10,2023-01-01,2,18.34
252,S253,CGH306,P29,2023-01-01,2,5.94
253,S254,CGH306,P11,2023-01-01,2,7.8
254,S255,CGH306,P15,2023-01-01,2,10.76
255,S256,CSL997,P29,2023-01-01,2,5.94
256,S257,CSL997,P39,2023-01-01,2,3.94
257,S258,CSL997,P49,2023-01-01,2,3.62
258,S259,CSL997,P2,2023-01-01,1,2.3
259,S260,CSL997,P33,2023-01-01,1,2.39
260,S261,CMM229,P39,2023-01-01,1,1.97
261,S262,CMM229,P11,2023-01-01,1,3.9
262,S263,CMM229,P34,2023-01-01,1,3.13
263,S264,CSA169,P49,2023-01-01,1,1.81
264,S265,CSA169,P20,2023-01-01,1,6.55
265,S266,CSA169,P11,2023-01-01,1,3.9
266,S267,CSA169,P50,2023-01-01,2,7.28
267,S268,CMM322,P33,2023-01-01,1,2.39
268,S269,CRT37,P10,2023-01-01,2,18.34
269,S270,CWM465,P2,2023-01-01,2,4.6
270,S271,CWM465,P27,2023-01-01,2,6.14
271,S272,CWM465,P41,2023-01-01,1,0.83
272,S273,CMT159,P3,2023-01-01,1,4.94
273,S274,CMT159,P10,2023-01-01,1,9.17
274,S275,CMT159,P42,2023-01-01,2,2.54
275,S276,CKO796,P23,2023-01-01,2,4.88
276,S277,CKO796,P21,2023-01-01,2,3.12
277,S278,CKO796,P36,2023-01-01,2,5.18
278,S279,CLA440,P7,2023-01-01,2,9.5
279,S280,CMR682,P32,2023-01-01,2,9.2
280,S281,CMR682,P47,2023-01-01,2,2.5
281,S282,CMR682,P28,2023-01-01,1,2.44
282,S283,CCB595,P36,2023-01-02,2,5.18
283,S284,CCB595,P49,2023-01-02,2,3.62
284,S285,CWC204,P47,2023-01-02,2,2.5
285,S286,CRR742,P49,2023-01-02,1,1.81
286,S287,CMY166,P24,2023-01-02,1,3.48
287,S288,CMY166,P26,2023-01-02,1,3.48
288,S289,CMY166,P8,2023-01-02,1,5.38
289,S290,CMY166,P25,2023-01-02,2,4.8
290,S291,CJM838,P36,2023-01-02,2,5.18
291,S292,CSM501,P50,2023-01-02,1,3.64
292,S293,CSC251,P11,2023-01-02,2,7.8
293,S294,CSC251,P29,2023-01-02,1,2.97
294,S295,CHA703,P45,2023-01-02,1,1.12
295,S296,CHA703,P15,2023-01-02,1,5.38
296,S297,CHA703,P28,2023-01-02,2,4.88
297,S298,CHA703,P27,2023-01-02,2,6.14
298,S299,CAC858,P49,2023-01-02,1,1.81
299,S300,CAC858,P13,2023-01-02,1,5.06
300,S301,CBR194,P47,2023-01-02,2,2.5
301,S302,CMR654,P1,2023-01-02,2,5.34
302,S303,CMR654,P39,2023-01-02,2,3.94
303,S304,CMR654,P33,2023-01-02,2,4.78
304,S305,CMR654,P15,2023-01-02,1,5.38
305,S306,CMR654,P45,2023-01-02,2,2.24
306,S307,CJC249,P26,2023-01-02,2,6.96
307,S308,CJC249,P30,2023-01-02,1,2.42
308,S309,CJC249,P33,2023-01-02,1,2.39
309,S310,CJC249,P7,2023-01-02,1,4.75
310,S311,CJM112,P18,2023-01-02,1,7.46
311,S312,CRM285,P49,2023-01-02,2,3.62
312,S313,CRM285,P19,2023-01-02,1,6.24
313,S314,CRM285,P35,2023-01-02,2,3.52
314,S315,CEA790,P41,2023-01-02,2,1.66
315,S316,CEA790,P9,2023-01-02,1,6.7
316,S317,CEA790,P45,2023-01-02,2,2.24
317,S318,CEA790,P5,2023-01-02,1,6.7
318,S319,CEA790,P1,2023-01-02,1,2.67
319,S320,CRR611,P27,2023-01-02,2,6.14
320,S321,CRR611,P16,2023-01-02,2,11.84
321,S322,CCB68,P6,2023-01-02,2,14.52
322,S323,CCB68,P22,2023-01-02,1,2.24
323,S324,CMR654,P29,2023-01-02,1,2.97
324,S325,CSC676,P3,2023-01-02,2,9.88
325,S326,CSO911,P27,2023-01-02,2,6.14
326,S327,CSO911,P36,2023-01-02,2,5.18
327,S328,CSO911,P35,2023-01-02,1,1.76
328,S329,CSO911,P20,2023-01-02,2,13.1
329,S330,CSO911,P48,2023-01-02,2,5.78
330,S331,CMS366,P17,2023-01-02,2,10.8
331,S332,CRH669,P45,2023-01-02,2,2.24
332,S333,CRH669,P36,2023-01-02,2,5.18
333,S334,CRH669,P7,2023-01-02,2,9.5
334,S335,CTG476,P26,2023-01-02,1,3.48
335,S336,CTG476,P11,2023-01-02,1,3.9
336,S337,CTG476,P18,2023-01-02,1,7.46
337,S338,CTG476,P8,2023-01-02,2,10.76
338,S339,CAC778,P28,2023-01-02,2,4.88
339,S340,CAC778,P18,2023-01-02,1,7.46
340,S341,CAC778,P11,2023-01-02,1,3.9
341,S342,CSG52,P49,2023-01-02,1,1.81
342,S343,CPO580,P36,2023-01-02,2,5.18
343,S344,CPO580,P10,2023-01-02,2,18.34
344,S345,CPO580,P4,2023-01-02,2,11.68
345,S346,CPO580,P37,2023-01-02,2,7.84
346,S347,CPO580,P19,2023-01-02,2,12.48
347,S348,CSW74,P42,2023-01-02,1,1.27
348,S349,CSW74,P23,2023-01-02,1,2.44
349,S350,CAH758,P16,2023-01-02,2,11.84
350,S351,CAH758,P29,2023-01-02,2,5.94
351,S352,CAH758,P35,2023-01-02,1,1.76
352,S353,CAH758,P44,2023-01-02,2,4.26
353,S354,CAH758,P37,2023-01-02,2,7.84
354,S355,CMR479,P45,2023-01-02,2,2.24
355,S356,CMR479,P4,2023-01-02,2,11.68
356,S357,CMR479,P24,2023-01-02,2,6.96
357,S358,CMR479,P22,2023-01-02,1,2.24
358,S359,CMR479,P31,2023-01-02,2,6.24
359,S360,CJR258,P38,2023-01-02,2,5.78
360,S361,CJR258,P42,2023-01-02,2,2.54
361,S362,CJR258,P31,2023-01-02,2,6.24
362,S363,CJR258,P12,2023-01-02,2,10.06
363,S364,CJR258,P15,2023-01-02,1,5.38
364,S365,CPG349,P6,2023-01-02,1,7.26
365,S366,CJJ876,P28,2023-01-02,1,2.44
366,S367,CJJ876,P16,2023-01-02,1,5.92
367,S368,CJJ876,P12,2023-01-02,2,10.06
368,S369,CRW656,P22,2023-01-02,1,2.24
369,S370,CRW656,P37,2023-01-02,1,3.92
370,S371,CAJ171,P1,2023-01-02,1,2.67
371,S372,CAJ171,P22,2023-01-02,2,4.48
372,S373,CAJ171,P31,2023-01-02,1,3.12
373,S374,CJT610,P37,2023-01-02,2,7.84
374,S375,CJT610,P9,2023-01-02,1,6.7
375,S376,CJT610,P2,2023-01-02,1,2.3
376,S377,CJT610,P36,2023-01-02,1,2.59
377,S378,CCD510,P37,2023-01-02,2,7.84
378,S379,CCD510,P20,2023-01-02,1,6.55
379,S380,CCD510,P4,2023-01-02,1,5.84
380,S381,CTL385,P31,2023-01-02,2,6.24
381,S382,CRD906,P39,2023-01-02,1,1.97
382,S383,CRD906,P37,2023-01-02,1,3.92
383,S384,CRD906,P41,2023-01-02,2,1.66
384,S385,CRD906,P2,2023-01-02,2,4.6
385,S386,CDM197,P33,2023-01-02,1,2.39
386,S387,CDM197,P39,2023-01-02,2,3.94
387,S388,CDM197,P46,2023-01-02,1,2.47
388,S389,CDM197,P31,2023-01-02,2,6.24
389,S390,CDM197,P25,2023-01-02,1,2.4
390,S391,CAL889,P1,2023-01-02,1,2.67
391,S392,CAL889,P10,2023-01-02,1,9.17
392,S393,CAL889,P9,2023-01-02,2,13.4
393,S394,CAL889,P14,2023-01-02,2,9.8
394,S395,CAL889,P18,2023-01-02,1,7.46
395,S396,CCG379,P41,2023-01-03,1,0.83
396,S397,CMG182,P37,2023-01-03,1,3.92
397,S398,CMG182,P14,2023-01-03,2,9.8
398,S399,CMG182,P45,2023-01-03,1,1.12
399,S400,CMG182,P49,2023-01-03,2,3.62
400,S401,CMG182,P23,2023-01-03,2,4.88
401,S402,CMS92,P31,2023-01-03,2,6.24
402,S403,CMS92,P5,2023-01-03,1,6.7
403,S404,CLH508,P19,2023-01-03,2,12.48
404,S405,CLH508,P49,2023-01-03,1,1.81
405,S406,CLH508,P4,2023-01-03,2,11.68
406,S407,CLH508,P31,2023-01-03,1,3.12
407,S408,CRB81,P34,2023-01-03,1,3.13
408,S409,CRB81,P28,2023-01-03,1,2.44
409,S410,CRB81,P3,2023-01-03,1,4.94
410,S411,CJH46,P43,2023-01-03,1,1.13
411,S412,CJH46,P27,2023-01-03,1,3.07
412,S413,CMG950,P3,2023-01-03,2,9.88
413,S414,CMG950,P27,2023-01-03,2,6.14
414,S415,CMG950,P24,2023-01-03,2,6.96
415,S416,CLB261,P1,2023-01-03,1,2.67
416,S417,CLB261,P36,2023-01-03,1,2.59
417,S418,CLB261,P35,2023-01-03,2,3.52
418,S419,CLB261,P30,2023-01-03,2,4.84
419,S420,CTM852,P43,2023-01-03,1,1.13
420,S421,CTM852,P35,2023-01-03,2,3.52
421,S422,CTM852,P3,2023-01-03,2,9.88
422,S423,CAH319,P11,2023-01-03,1,3.9
423,S424,CAH319,P23,2023-01-03,2,4.88
424,S425,CAH319,P32,2023-01-03,1,4.6
425,S426,CWD324,P41,2023-01-03,2,1.66
426,S427,CTC934,P33,2023-01-03,2,4.78
427,S428,CRP116,P4,2023-01-03,1,5.84
428,S429,CRP116,P9,2023-01-03,2,13.4
429,S430,CRP116,P37,2023-01-03,1,3.92
430,S431,CSM363,P2,2023-01-03,2,4.6
431,S432,CSM363,P39,2023-01-03,2,3.94
432,S433,CSM363,P20,2023-01-03,2,13.1
433,S434,CSM363,P35,2023-01-03,2,3.52
434,S435,CSM363,P44,2023-01-03,1,2.13
435,S436,CTH938,P19,2023-01-03,2,12.48
436,S437,CTH938,P13,2023-01-03,2,10.12
437,S438,CTA979,P19,2023-01-03,1,6.24
438,S439,CTA979,P27,2023-01-03,1,3.07
439,S440,CTA979,P45,2023-01-03,2,2.24
440,S441,CTA979,P7,2023-01-03,2,9.5
441,S442,CTA979,P29,2023-01-03,2,5.94
442,S443,CSS254,P44,2023-01-03,2,4.26
443,S444,CSS254,P28,2023-01-03,1,2.44
444,S445,CSS254,P2,2023-01-03,1,2.3
445,S446,CSS254,P5,2023-01-03,1,6.7
446,S447,CSS254,P15,2023-01-03,1,5.38
447,S448,CEE372,P7,2023-01-03,1,4.75
448,S449,CEE372,P44,2023-01-03,1,2.13
449,S450,CEE372,P12,2023-01-03,1,5.03
450,S451,CNU423,P45,2023-01-03,2,2.24
451,S452,CNU423,P5,2023-01-03,2,13.4
452,S453,CGC268,P2,2023-01-03,1,2.3
453,S454,CHL870,P37,2023-01-03,1,3.92
454,S455,CHL870,P40,2023-01-03,2,4.84
455,S456,CCB662,P5,2023-01-03,1,6.7
456,S457,CCB662,P21,2023-01-03,2,3.12
457,S458,CCB662,P39,2023-01-03,1,1.97
458,S459,CDR247,P9,2023-01-03,2,13.4
459,S460,CDR247,P31,2023-01-03,1,3.12
460,S461,CDR247,P43,2023-01-03,2,2.26
461,S462,CDR247,P21,2023-01-03,1,1.56
462,S463,CMC445,P28,2023-01-03,1,2.44
463,S464,CMC445,P17,2023-01-03,2,10.8
464,S465,CKO918,P37,2023-01-03,2,7.84
465,S466,CKO918,P47,2023-01-03,2,2.5
466,S467,CRD906,P32,2023-01-03,1,4.6
467,S468,CRD906,P26,2023-01-03,2,6.96
468,S469,CCJ51,P26,2023-01-03,1,3.48
469,S470,CCJ51,P35,2023-01-03,1,1.76
470,S471,CKF531,P18,2023-01-03,1,7.46
471,S472,CKF531,P15,2023-01-03,1,5.38
472,S473,CKH830,P45,2023-01-03,2,2.24
473,S474,CMW409,P45,2023-01-03,1,1.12
474,S475,CMW409,P3,2023-01-03,2,9.88
475,S476,CMW409,P50,2023-01-03,2,7.28
476,S477,CMW409,P47,2023-01-03,1,1.25
477,S478,CMW409,P7,2023-01-03,1,4.75
478,S479,CML917,P21,2023-01-03,2,3.12
479,S480,CML917,P19,2023-01-03,1,6.24
480,S481,CML917,P29,2023-01-03,1,2.97
481,S482,CML917,P40,2023-01-03,1,2.42
482,S483,CRB683,P5,2023-01-03,1,6.7
483,S484,CRB683,P3,2023-01-03,2,9.88
484,S485,CCJ771,P17,2023-01-03,2,10.8
485,S486,CCJ771,P34,2023-01-03,1,3.13
486,S487,CCJ771,P39,2023-01-03,1,1.97
487,S488,CDF780,P14,2023-01-03,2,9.8
488,S489,CDF780,P26,2023-01-03,2,6.96
489,S490,CDF780,P17,2023-01-03,2,10.8
490,S491,CDF780,P32,2023-01-03,2,9.2
491,S492,CDF780,P28,2023-01-03,2,4.88
492,S493,CJD869,P15,2023-01-03,1,5.38
493,S494,CJD869,P21,2023-01-03,2,3.12
494,S495,CJD869,P35,2023-01-03,2,3.52
495,S496,CJD869,P26,2023-01-03,1,3.48
496,S497,CJD869,P3,2023-01-03,1,4.94
497,S498,CDO460,P3,2023-01-03,1,4.94
498,S499,CDO460,P31,2023-01-03,1,3.12
499,S500,CDR247,P35,2023-01-03,1,1.76
500,S501,CTM551,P39,2023-01-03,1,1.97
501,S502,CTM551,P24,2023-01-03,1,3.48
502,S503,CPJ529,P16,2023-01-03,2,11.84
503,S504,CPJ529,P10,2023-01-03,1,9.17
504,S505,CPJ529,P46,2023-01-03,1,2.47
505,S506,CPJ529,P43,2023-01-03,2,2.26
506,S507,CDW103,P12,2023-01-03,1,5.03
507,S508,CMJ138,P16,2023-01-03,1,5.92
508,S509,CMJ138,P5,2023-01-03,1,6.7
509,S510,CMJ138,P30,2023-01-03,1,2.42
510,S511,CMJ138,P3,2023-01-03,1,4.94
511,S512,CMJ138,P8,2023-01-03,2,10.76
512,S513,CJC855,P5,2023-01-03,1,6.7
513,S514,CJC855,P39,2023-01-03,1,1.97
514,S515,CJC855,P38,2023-01-03,1,2.89
515,S516,CJC855,P14,2023-01-03,2,9.8
516,S517,CSA169,P18,2023-01-03,1,7.46
517,S518,CSA169,P21,2023-01-03,2,3.12
518,S519,CSA169,P13,2023-01-03,1,5.06
519,S520,CSA169,P33,2023-01-03,2,4.78
520,S521,CSA169,P35,2023-01-03,2,3.52
521,S522,CZR597,P48,2023-01-03,1,2.89
522,S523,CZR597,P20,2023-01-03,2,13.1
523,S524,CZR597,P43,2023-01-03,1,1.13
524,S525,CZR597,P29,2023-01-03,2,5.94
525,S526,CZR597,P50,2023-01-03,2,7.28
526,S527,CBT108,P27,2023-01-03,2,6.14
527,S528,CBT108,P20,2023-01-03,1,6.55
528,S529,CBT108,P28,2023-01-03,1,2.44
529,S530,CBT108,P5,2023-01-03,1,6.7
530,S531,CBT108,P11,2023-01-03,2,7.8
531,S532,CMH649,P12,2023-01-03,2,10.06
532,S533,CMH649,P16,2023-01-03,2,11.84
533,S534,CMH649,P3,2023-01-03,2,9.88
534,S535,CDF408,P5,2023-01-03,2,13.4
